# tradestation.txt

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.06

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.07

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.05

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.05

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.05

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.04

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.03

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.95, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.95, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.97

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.95, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.95

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.96

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.94, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.93, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.93, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.93, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.92, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.91, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.91, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.91, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.91, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.90, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.89, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.89, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.89, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.89, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.89, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.88, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.87, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.86, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.86, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.85, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.83

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.83

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.85

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.92

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.94

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.93

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.91

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.86

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.87

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.90

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.89

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

TSLA  12/12/2023  | Open, High, Low, Close=  236.95, 236.97, 236.83, 236.88

